id,display_name,fx_stablecoin,max_slippage_percentage,status
JTO-USD,JTO-USD,False,0.03000000,online
AGLD-USDT,AGLD-USDT,False,0.03000000,delisted
TRU-EUR,TRU-EUR,False,0.03000000,delisted
XLM-USDT,XLM-USDT,False,0.03000000,online
SOL-EUR,SOL-EUR,False,0.03000000,online
DOGE-USD,DOGE-USD,False,0.03000000,online
AIOZ-USD,AIOZ-USD,False,0.03000000,online
FOX-USD,FOX-USD,False,0.03000000,online
USDT-GBP,USDT-GBP,True,0.01000000,online
REQ-USDT,REQ-USDT,False,0.03000000,delisted
DOGE-EUR,DOGE-EUR,False,0.03000000,online
BAND-GBP,BAND-GBP,False,0.03000000,delisted
RAI-USD,RAI-USD,False,0.03000000,online
SOL-BTC,SOL-BTC,False,0.03000000,online
LINK-BTC,LINK-BTC,False,0.03000000,online
LTC-USD,LTC-USD,False,0.03000000,online
AVAX-USDT,AVAX-USDT,False,0.03000000,online
DOT-EUR,DOT-EUR,False,0.03000000,online
JASMY-USDT,JASMY-USDT,False,0.03000000,online
NEST-USD,NEST-USD,False,0.03000000,delisted
1INCH-USD,1INCH-USD,False,0.03000000,online
GRT-GBP,GRT-GBP,False,0.03000000,online
STORJ-USD,STORJ-USD,False,0.03000000,online
BNT-GBP,BNT-GBP,False,0.03000000,delisted
METIS-USDT,METIS-USDT,False,0.03000000,delisted
TRU-USDT,TRU-USDT,False,0.03000000,delisted
AVAX-USD,AVAX-USD,False,0.03000000,online
PLA-USD,PLA-USD,False,0.03000000,delisted
PERP-USDT,PERP-USDT,False,0.03000000,delisted
RNDR-USDT,RNDR-USDT,False,0.03000000,online
INDEX-USDT,INDEX-USDT,False,0.03000000,delisted
YFI-USD,YFI-USD,False,0.03000000,online
BAL-USD,BAL-USD,False,0.03000000,online
1INCH-GBP,1INCH-GBP,False,0.03000000,online
DOGE-GBP,DOGE-GBP,False,0.03000000,online
ENJ-BTC,ENJ-BTC,False,0.03000000,online
00-USD,00-USD,False,0.03000000,online
FORTH-EUR,FORTH-EUR,False,0.03000000,delisted
CHZ-GBP,CHZ-GBP,False,0.03000000,online
MANA-USDC,MANA-USDC,False,0.03000000,delisted
STORJ-BTC,STORJ-BTC,False,0.03000000,delisted
TRAC-USDT,TRAC-USDT,False,0.03000000,delisted
BAND-USD,BAND-USD,False,0.03000000,online
AGLD-USD,AGLD-USD,False,0.03000000,online
BCH-USD,BCH-USD,False,0.03000000,online
FARM-USD,FARM-USD,False,0.03000000,online
HFT-USD,HFT-USD,False,0.03000000,online
UMA-BTC,UMA-BTC,False,0.03000000,delisted
AUDIO-USD,AUDIO-USD,False,0.03000000,online
XRP-EUR,XRP-EUR,False,0.05000000,online
MATH-USD,MATH-USD,False,0.03000000,online
LTC-BTC,LTC-BTC,False,0.03000000,online
BAT-USD,BAT-USD,False,0.03000000,online
SUSHI-EUR,SUSHI-EUR,False,0.03000000,delisted
SNX-EUR,SNX-EUR,False,0.03000000,online
TRIBE-USD,TRIBE-USD,False,0.03000000,delisted
WAMPL-USD,WAMPL-USD,False,0.03000000,online
HOPR-USD,HOPR-USD,False,0.03000000,online
ICP-USDT,ICP-USDT,False,0.03000000,online
RLY-USDT,RLY-USDT,False,0.05000000,delisted
ONDO-USD,ONDO-USD,False,0.03000000,online
BTC-GBP,BTC-GBP,False,0.03000000,online
ZRX-EUR,ZRX-EUR,False,0.03000000,delisted
MATIC-BTC,MATIC-BTC,False,0.03000000,online
WBTC-BTC,WBTC-BTC,True,0.01000000,online
XRP-BTC,XRP-BTC,False,0.10000000,delisted
CHZ-EUR,CHZ-EUR,False,0.03000000,online
NEAR-USDT,NEAR-USDT,False,0.03000000,online
NMR-GBP,NMR-GBP,False,0.03000000,delisted
TRAC-USD,TRAC-USD,False,0.03000000,online
BOND-USDT,BOND-USDT,False,0.03000000,delisted
AUCTION-USD,AUCTION-USD,False,0.03000000,online
AERO-USD,AERO-USD,False,0.03000000,online
BAT-EUR,BAT-EUR,False,0.03000000,online
REQ-EUR,REQ-EUR,False,0.03000000,delisted
GAL-USDT,GAL-USDT,False,0.03000000,delisted
TIA-USD,TIA-USD,False,0.03000000,online
BADGER-EUR,BADGER-EUR,False,0.03000000,delisted
BAT-USDC,BAT-USDC,False,0.03000000,delisted
TIME-USD,TIME-USD,False,0.05000000,online
BOND-USD,BOND-USD,False,0.03000000,delisted
BCH-BTC,BCH-BTC,False,0.03000000,online
AVAX-EUR,AVAX-EUR,False,0.03000000,online
LINK-ETH,LINK-ETH,False,0.03000000,online
ELA-USDT,ELA-USDT,False,0.03000000,delisted
CRV-USD,CRV-USD,False,0.03000000,online
ACH-USDT,ACH-USDT,False,0.03000000,delisted
SUPER-USDT,SUPER-USDT,False,0.03000000,delisted
USDC-EUR,USDC-EUR,True,0.01000000,online
IOTX-USD,IOTX-USD,False,0.03000000,online
BNT-USD,BNT-USD,False,0.03000000,online
NCT-USD,NCT-USD,False,0.03000000,online
TRB-USD,TRB-USD,False,0.03000000,online
MOBILE-USD,MOBILE/USD,False,0.03000000,online
SPA-USD,SPA-USD,False,0.03000000,online
IDEX-USD,IDEX-USD,False,0.03000000,online
SYLO-USDT,SYLO-USDT,False,0.03000000,delisted
PUNDIX-USD,PUNDIX-USD,False,0.03000000,online
SHIB-USD,SHIB-USD,False,0.03000000,online
ALCX-USDT,ALCX-USDT,False,0.03000000,delisted
ZEC-BTC,ZEC-BTC,False,0.03000000,online
AAVE-BTC,AAVE-BTC,False,0.03000000,online
NU-GBP,NU-GBP,False,0.03000000,delisted
STX-USDT,STX-USDT,False,0.03000000,online
POWR-EUR,POWR-EUR,False,0.03000000,delisted
MATIC-EUR,MATIC-EUR,False,0.03000000,online
MINA-USDT,MINA-USDT,False,0.03000000,online
MDT-USDT,MDT-USDT,False,0.03000000,delisted
AAVE-USD,AAVE-USD,False,0.03000000,online
RAD-GBP,RAD-GBP,False,0.03000000,delisted
BTC-EUR,BTC-EUR,False,0.03000000,online
METIS-USD,METIS-USD,False,0.03000000,online
BTRST-EUR,BTRST-EUR,False,0.03000000,delisted
KSM-USD,KSM-USD,False,0.03000000,online
OSMO-USD,OSMO-USD,False,0.03000000,online
RAD-USDT,RAD-USDT,False,0.03000000,delisted
SUSHI-BTC,SUSHI-BTC,False,0.03000000,delisted
ETC-EUR,ETC-EUR,False,0.03000000,online
MASK-EUR,MASK-EUR,False,0.05000000,online
CLV-USDT,CLV-USDT,False,0.03000000,delisted
ICP-USD,ICP-USD,False,0.03000000,online
ETH-BTC,ETH-BTC,False,0.03000000,online
BCH-GBP,BCH-GBP,False,0.03000000,online
SYLO-USD,SYLO-USD,False,0.03000000,delisted
AMP-USD,AMP-USD,False,0.03000000,online
FORTH-USD,FORTH-USD,False,0.03000000,online
SHPING-USD,SHPING-USD,False,0.03000000,online
XYO-USDT,XYO-USDT,False,0.03000000,delisted
BOBA-USD,BOBA-USD,False,0.03000000,online
ATOM-BTC,ATOM-BTC,False,0.03000000,online
NCT-EUR,NCT-EUR,False,0.03000000,delisted
CGLD-BTC,CGLD-BTC,False,0.03000000,online
ASM-USD,ASM-USD,False,0.03000000,online
YFII-USD,YFII-USD,False,0.03000000,delisted
MATH-USDT,MATH-USDT,False,0.03000000,delisted
USDT-USD,USDT-USD,True,0.01000000,online
1INCH-EUR,1INCH-EUR,False,0.03000000,online
MINA-USD,MINA-USD,False,0.03000000,online
LQTY-USDT,LQTY-USDT,False,0.03000000,delisted
VGX-EUR,VGX-EUR,False,0.03000000,delisted
SAND-USD,SAND-USD,False,0.03000000,online
CTSI-BTC,CTSI-BTC,False,0.03000000,delisted
ARPA-USDT,ARPA-USDT,False,0.03000000,delisted
RGT-USD,RGT-USD,False,0.03000000,delisted
CTX-EUR,CTX-EUR,False,0.05000000,delisted
SOL-USD,SOL-USD,False,0.03000000,online
FIDA-EUR,FIDA-EUR,False,0.03000000,delisted
MUSE-USD,MUSE-USD,False,0.05000000,online
UST-USDT,UST-USDT,True,0.01000000,delisted
RBN-USD,RBN-USD,False,0.03000000,online
MNDE-USD,MNDE-USD,False,0.03000000,online
UNI-GBP,UNI-GBP,False,0.03000000,online
REQ-USD,REQ-USD,False,0.03000000,online
NCT-USDT,NCT-USDT,False,0.03000000,delisted
RLY-GBP,RLY-GBP,False,0.05000000,delisted
PAX-USD,PAX-USD,True,0.01000000,online
STG-USD,STG-USD,False,0.03000000,delisted
ATOM-GBP,ATOM-GBP,False,0.03000000,online
XTZ-USD,XTZ-USD,False,0.03000000,online
FIL-GBP,FIL-GBP,False,0.03000000,online
QUICK-USD,QUICK-USD,False,0.03000000,delisted
ORN-USDT,ORN-USDT,False,0.03000000,delisted
ANKR-BTC,ANKR-BTC,False,0.03000000,online
SUSHI-ETH,SUSHI-ETH,False,0.03000000,delisted
MATIC-USDT,MATIC-USDT,False,0.03000000,online
OMG-GBP,OMG-GBP,False,0.03000000,delisted
SHIB-EUR,SHIB-EUR,False,0.03000000,online
CHZ-USD,CHZ-USD,False,0.03000000,online
MLN-USD,MLN-USD,False,0.03000000,online
AUCTION-USDT,AUCTION-USDT,False,0.03000000,delisted
EOS-BTC,EOS-BTC,False,0.03000000,online
TNSR-USD,TNSR/USD,False,0.03000000,online
UPI-USD,UPI-USD,False,0.03000000,delisted
BAND-BTC,BAND-BTC,False,0.03000000,delisted
INV-USD,INV-USD,False,0.05000000,online
ADA-USD,ADA-USD,False,0.03000000,online
ALCX-EUR,ALCX-EUR,False,0.03000000,delisted
DOT-GBP,DOT-GBP,False,0.03000000,online
KNC-USD,KNC-USD,False,0.03000000,online
NMR-BTC,NMR-BTC,False,0.03000000,delisted
ELA-USD,ELA-USD,False,0.03000000,online
PRO-USD,PRO-USD,False,0.05000000,online
TVK-USD,TVK-USD,False,0.03000000,online
AXS-USDT,AXS-USDT,False,0.03000000,online
ICP-EUR,ICP-EUR,False,0.03000000,online
NEST-USDT,NEST-USDT,False,0.03000000,delisted
NKN-EUR,NKN-EUR,False,0.03000000,delisted
ARPA-EUR,ARPA-EUR,False,0.03000000,delisted
TONE-USD,TONE-USD,False,0.05000000,delisted
OOKI-USD,OOKI-USD,False,0.05000000,delisted
FIL-USD,FIL-USD,False,0.03000000,online
OMG-EUR,OMG-EUR,False,0.03000000,delisted
DDX-EUR,DDX-EUR,False,0.03000000,delisted
XRP-GBP,XRP-GBP,False,0.05000000,delisted
RENDER-USD,RENDER/USD,False,0.03000000,online
GHST-USD,GHST-USD,False,0.03000000,online
SOL-ETH,SOL-ETH,False,0.03000000,online
DIA-EUR,DIA-EUR,False,0.03000000,delisted
ALGO-EUR,ALGO-EUR,False,0.03000000,online
COTI-USD,COTI-USD,False,0.03000000,online
REP-USD,REP-USD,False,0.03000000,delisted
OP-USDT,OP-USDT,False,0.03000000,online
PNG-USD,PNG-USD,False,0.05000000,online
MCO2-USD,MCO2-USD,False,0.05000000,delisted
DOT-USD,DOT-USD,False,0.03000000,online
CGLD-USD,CGLD-USD,False,0.03000000,online
DESO-USD,DESO-USD,False,0.03000000,online
ASM-USDT,ASM-USDT,False,0.03000000,delisted
MPL-USD,MPL-USD,False,0.03000000,online
DNT-USDC,DNT-USDC,False,0.03000000,delisted
NMR-USD,NMR-USD,False,0.03000000,online
SHPING-EUR,SHPING-EUR,False,0.03000000,delisted
MXC-USD,MXC-USD,False,0.03000000,delisted
SPELL-USDT,SPELL-USDT,False,0.03000000,delisted
FIS-USDT,FIS-USDT,False,0.03000000,delisted
ADA-BTC,ADA-BTC,False,0.03000000,online
FLR-USD,FLR-USD,False,0.03000000,online
CGLD-EUR,CGLD-EUR,False,0.03000000,online
SKL-GBP,SKL-GBP,False,0.03000000,delisted
CVC-USD,CVC-USD,False,0.03000000,online
FET-USD,FET-USD,False,0.03000000,online
QNT-USDT,QNT-USDT,False,0.03000000,online
FX-USD,FX-USD,False,0.03000000,online
DREP-USDT,DREP-USDT,False,0.05000000,delisted
ADA-EUR,ADA-EUR,False,0.03000000,online
HBAR-USD,HBAR-USD,False,0.03000000,online
LRC-USDT,LRC-USDT,False,0.03000000,online
CVX-USD,CVX-USD,False,0.03000000,online
DDX-USDT,DDX-USDT,False,0.03000000,delisted
LPT-USD,LPT-USD,False,0.03000000,online
HNT-USD,HNT-USD,False,0.03000000,online
MANA-ETH,MANA-ETH,False,0.03000000,online
CELR-USD,CELR-USD,False,0.03000000,online
PRIME-USD,PRIME-USD,False,0.03000000,online
APE-USD,APE-USD,False,0.03000000,online
ALEPH-USD,ALEPH-USD,False,0.03000000,online
WLUNA-GBP,WLUNA-GBP,False,0.10000000,delisted
YFI-BTC,YFI-BTC,False,0.03000000,online
ETC-GBP,ETC-GBP,False,0.03000000,online
ETC-BTC,ETC-BTC,False,0.03000000,online
COVAL-USDT,COVAL-USDT,False,0.03000000,delisted
FIDA-USDT,FIDA-USDT,False,0.03000000,delisted
RAD-USD,RAD-USD,False,0.03000000,online
BIGTIME-USD,BIGTIME-USD,False,0.03000000,online
DOT-BTC,DOT-BTC,False,0.03000000,online
LSETH-USD,LSETH-USD,False,0.03000000,online
HFT-USDT,HFT-USDT,False,0.03000000,delisted
RLC-USD,RLC-USD,False,0.03000000,online
SUPER-USD,SUPER-USD,False,0.03000000,online
VARA-USD,VARA-USD,False,0.03000000,online
UST-USD,UST-USD,True,0.01000000,delisted
SNX-USD,SNX-USD,False,0.03000000,online
VELO-USD,VELO-USD,False,0.03000000,online
CTSI-USD,CTSI-USD,False,0.03000000,online
XYO-USD,XYO-USD,False,0.03000000,online
KEEP-USD,KEEP-USD,False,0.03000000,delisted
OGN-USD,OGN-USD,False,0.03000000,online
CRO-USDT,CRO-USDT,False,0.03000000,online
AAVE-GBP,AAVE-GBP,False,0.03000000,online
CRV-BTC,CRV-BTC,False,0.03000000,online
ACH-USD,ACH-USD,False,0.03000000,online
OCEAN-USD,OCEAN-USD,False,0.03000000,online
FORT-USDT,FORT-USDT,False,0.03000000,delisted
XCN-USD,XCN-USD,False,0.03000000,online
UST-EUR,UST-EUR,True,0.01000000,delisted
UMA-EUR,UMA-EUR,False,0.03000000,delisted
GODS-USD,GODS-USD,False,0.03000000,online
ENS-EUR,ENS-EUR,False,0.03000000,online
NU-USD,NU-USD,False,0.03000000,delisted
EOS-USD,EOS-USD,False,0.03000000,online
MIR-BTC,MIR-BTC,False,0.03000000,delisted
ARB-USD,ARB-USD,False,0.03000000,online
PAX-USDT,PAX-USDT,True,0.01000000,delisted
USDC-GBP,USDC-GBP,True,0.01000000,online
DESO-USDT,DESO-USDT,False,0.03000000,delisted
UMA-GBP,UMA-GBP,False,0.03000000,delisted
LCX-USDT,LCX-USDT,False,0.03000000,delisted
CLV-EUR,CLV-EUR,False,0.03000000,delisted
PRQ-USD,PRQ-USD,False,0.03000000,online
KSM-USDT,KSM-USDT,False,0.03000000,delisted
QI-USD,QI-USD,False,0.03000000,online
POLY-USD,POLY-USD,False,0.03000000,delisted
BTC-USDT,BTC-USDT,False,0.03000000,online
BTRST-BTC,BTRST-BTC,False,0.03000000,delisted
TRU-USD,TRU-USD,False,0.03000000,online
AKT-USD,AKT/USD,False,0.03000000,online
ZEN-USD,ZEN-USD,False,0.03000000,online
ZEN-USDT,ZEN-USDT,False,0.03000000,delisted
CTX-USDT,CTX-USDT,False,0.05000000,delisted
RARI-USD,RARI-USD,False,0.03000000,online
ANKR-GBP,ANKR-GBP,False,0.03000000,online
ADA-ETH,ADA-ETH,False,0.03000000,online
QSP-USD,QSP-USD,False,0.05000000,delisted
ATOM-EUR,ATOM-EUR,False,0.03000000,online
LINK-USD,LINK-USD,False,0.03000000,online
XLM-BTC,XLM-BTC,False,0.03000000,online
GNO-USD,GNO-USD,False,0.03000000,online
FIL-BTC,FIL-BTC,False,0.03000000,online
REQ-GBP,REQ-GBP,False,0.03000000,delisted
LSETH-ETH,LSETH-ETH,True,0.01000000,online
MANA-BTC,MANA-BTC,False,0.03000000,online
LOKA-USD,LOKA-USD,False,0.03000000,online
FOX-USDT,FOX-USDT,False,0.03000000,delisted
SKL-USD,SKL-USD,False,0.03000000,online
KRL-EUR,KRL-EUR,False,0.05000000,delisted
KAVA-USD,KAVA-USD,False,0.03000000,online
AAVE-EUR,AAVE-EUR,False,0.03000000,online
GLM-USD,GLM-USD,False,0.03000000,online
LCX-USD,LCX-USD,False,0.03000000,online
ORN-USD,ORN-USD,False,0.03000000,online
